PO_ID,Supplier,Item_Category,Order_Status,Order_Date,Delivery_Date,Quantity,Unit_Price,Negotiated_Price,Defective_Units,Compliance,days_to_deliver,negotiated_savings,defect_rate,is_delivered,is_cancelled,is_compliant
PO-00046,Alpha_Inc,Electronics,Delivered,2022-12-19,,1025,21.11,19.25,15.0,true,,1906.4999999999993,0.014634146341463415,1,0,0
PO-00067,Alpha_Inc,Electronics,Delivered,2022-10-24,2022-10-26,650,103.84,88.28,12.0,true,2,10114.000000000002,0.018461538461538463,1,0,0
PO-00074,Alpha_Inc,Electronics,Delivered,2023-10-13,2023-10-28,947,56.25,54.25,19.0,true,15,1894.0,0.020063357972544878,1,0,0
PO-00094,Alpha_Inc,Electronics,Partially Delivered,2022-10-04,2022-10-09,1845,39.56,37.63,45.0,true,5,3560.8499999999995,0.024390243902439025,0,0,0
PO-00180,Alpha_Inc,Electronics,Delivered,2022-01-01,2022-01-12,552,21.52,18.79,13.0,true,11,1506.9600000000003,0.02355072463768116,1,0,0
PO-00203,Alpha_Inc,Electronics,Delivered,2022-09-29,2022-10-14,1480,85.22,75.48,100.0,true,15,14415.199999999992,0.067567567567567571,1,0,0
PO-00292,Alpha_Inc,Electronics,Delivered,2022-04-06,2022-04-07,1126,58.8,52.22,,true,1,7409.0799999999981,,1,0,0
PO-00302,Alpha_Inc,Electronics,Cancelled,2023-01-24,,1257,83.13,81.89,30.0,true,,1558.6799999999935,0.02386634844868735,0,1,0
PO-00308,Alpha_Inc,Electronics,Delivered,2023-03-10,2023-03-25,1910,90.69,85.8,,true,15,9339.9000000000015,,1,0,0
PO-00340,Alpha_Inc,Electronics,Pending,2023-08-07,2023-08-25,387,100.28,85.54,5.0,true,18,5704.3799999999983,0.012919896640826873,0,0,0
PO-00356,Alpha_Inc,Electronics,Delivered,2022-11-18,2022-11-29,930,13.67,11.95,16.0,true,11,1599.6000000000006,0.017204301075268817,1,0,0
PO-00421,Alpha_Inc,Electronics,Delivered,2022-01-04,2022-01-06,1004,50.7,46.59,27.0,true,2,4126.44,0.026892430278884463,1,0,0
PO-00441,Alpha_Inc,Electronics,Cancelled,2023-07-20,2023-08-02,928,69.31,67.26,20.0,true,13,1902.3999999999974,0.021551724137931036,0,1,0
PO-00595,Alpha_Inc,Electronics,Delivered,2023-09-18,2023-09-21,1903,83.49,82.33,43.0,true,3,2207.4799999999937,0.022595901208617972,1,0,0
PO-00605,Alpha_Inc,Electronics,Delivered,2023-02-14,2023-02-20,1824,14.43,14.11,36.0,true,6,583.68000000000052,0.019736842105263157,1,0,0
PO-00622,Alpha_Inc,Electronics,Delivered,2023-04-13,2023-05-02,910,14.33,14.07,27.0,true,19,236.5999999999998,0.029670329670329669,1,0,0
PO-00633,Alpha_Inc,Electronics,Delivered,2023-03-13,2023-03-24,1142,86.85,74.28,30.0,true,11,14354.939999999991,0.026269702276707531,1,0,0
PO-00661,Alpha_Inc,Electronics,Delivered,2023-01-28,2023-02-15,1296,38.0,33.42,33.0,true,18,5935.6799999999976,0.025462962962962962,1,0,0
PO-00664,Alpha_Inc,Electronics,Delivered,2023-12-25,2024-01-12,1732,15.37,14.7,38.0,true,18,1160.4399999999998,0.021939953810623556,1,0,0
PO-00726,Alpha_Inc,Electronics,Delivered,2022-12-01,2022-12-17,1566,75.43,71.27,27.0,true,16,6514.5600000000168,0.017241379310344827,1,0,0
PO-00736,Alpha_Inc,Electronics,Delivered,2022-02-23,2022-02-28,1467,34.2,30.5,25.0,true,5,5427.9000000000042,0.017041581458759374,1,0,0
PO-00771,Alpha_Inc,Electronics,Pending,2023-11-25,2023-12-03,1092,65.17,63.11,21.0,true,8,2249.5200000000023,0.019230769230769232,0,0,0
PO-00013,Beta_Supplies,Electronics,Pending,2023-03-09,2023-03-26,5000,86.74,74.86,51.0,true,17,59399.999999999978,0.0102,0,0,0
PO-00041,Beta_Supplies,Electronics,Delivered,2022-04-15,2022-04-27,1132,17.78,15.36,96.0,true,12,2739.4400000000019,0.084805653710247356,1,0,0
PO-00055,Beta_Supplies,Electronics,Delivered,2023-07-20,2023-08-07,1317,68.13,60.52,136.0,true,18,10022.36999999999,0.10326499620349279,1,0,0
PO-00083,Beta_Supplies,Electronics,Cancelled,2023-12-01,2023-12-07,84,73.38,71.42,9.0,true,6,164.63999999999947,0.10714285714285714,0,1,0
PO-00095,Beta_Supplies,Electronics,Cancelled,2023-10-18,,1895,91.98,86.27,170.0,true,,10820.450000000015,0.089709762532981532,0,1,0
PO-00115,Beta_Supplies,Electronics,Delivered,2023-10-21,2023-11-09,1798,94.8,91.83,,true,19,5340.0599999999977,,1,0,0
PO-00122,Beta_Supplies,Electronics,Delivered,2023-07-06,2023-07-19,1995,90.65,77.75,206.0,true,13,25735.500000000011,0.10325814536340852,1,0,0
PO-00158,Beta_Supplies,Electronics,Delivered,2022-04-25,2022-04-30,829,45.98,40.39,,true,5,4634.1099999999969,,1,0,0
PO-00186,Beta_Supplies,Electronics,Cancelled,2023-01-07,2023-01-21,256,96.15,83.44,26.0,true,14,3253.760000000002,0.1015625,0,1,0
PO-00239,Beta_Supplies,Electronics,Delivered,2022-12-05,2022-12-20,1356,75.03,63.86,131.0,true,15,15146.520000000002,0.096607669616519176,1,0,0
PO-00254,Beta_Supplies,Electronics,Delivered,2023-02-21,2023-02-24,1307,68.71,60.64,141.0,true,3,10547.489999999991,0.10788064269319052,1,0,0
PO-00255,Beta_Supplies,Electronics,Delivered,2022-07-14,2022-07-29,733,32.29,29.01,78.0,true,15,2404.2399999999984,0.10641200545702592,1,0,0
PO-00268,Beta_Supplies,Electronics,Partially Delivered,2022-04-11,2022-04-20,613,20.38,20.17,58.0,true,9,128.72999999999834,0.09461663947797716,0,0,0
PO-00284,Beta_Supplies,Electronics,Pending,2022-03-19,2022-04-06,1639,56.24,55.4,147.0,true,18,1376.7600000000057,0.0896888346552776,0,0,0
PO-00352,Beta_Supplies,Electronics,Delivered,2022-11-20,2022-11-21,395,24.83,23.96,31.0,true,1,343.649999999999,0.07848101265822785,1,0,0
PO-00373,Beta_Supplies,Electronics,Partially Delivered,2023-07-05,2023-07-09,453,64.14,60.18,51.0,true,4,1793.8800000000003,0.11258278145695365,0,0,0
PO-00398,Beta_Supplies,Electronics,Delivered,2022-09-28,2022-10-03,1779,97.86,94.36,176.0,true,5,6226.5,0.098931984260820685,1,0,0
PO-00403,Beta_Supplies,Electronics,Cancelled,2022-10-06,2022-10-21,1754,89.35,86.54,161.0,false,15,4928.7399999999789,0.091790193842645376,0,1,0
PO-00493,Beta_Supplies,Electronics,Cancelled,2023-10-19,2023-10-24,675,13.69,11.84,52.0,true,5,1248.7499999999998,0.077037037037037043,0,1,0
PO-00500,Beta_Supplies,Electronics,Partially Delivered,2022-04-29,2022-05-13,539,33.85,30.57,34.0,false,14,1767.9200000000005,0.063079777365491654,0,0,0
PO-00506,Beta_Supplies,Electronics,Delivered,2022-04-22,2022-05-08,295,60.58,57.32,31.0,true,16,961.69999999999936,0.10508474576271186,1,0,0
PO-00569,Beta_Supplies,Electronics,Delivered,2023-03-29,2023-04-15,926,15.65,13.49,94.0,false,17,2000.16,0.10151187904967603,1,0,0
PO-00576,Beta_Supplies,Electronics,Delivered,2023-11-06,2023-11-15,985,83.85,80.88,,false,9,2925.4499999999989,,1,0,0
PO-00606,Beta_Supplies,Electronics,Partially Delivered,2022-09-07,2022-09-12,851,76.44,74.76,91.0,true,5,1429.6799999999937,0.10693301997649823,0,0,0
PO-00619,Beta_Supplies,Electronics,Delivered,2023-07-25,2023-08-14,1520,93.75,81.63,149.0,true,20,18422.400000000009,0.098026315789473684,1,0,0
PO-00630,Beta_Supplies,Electronics,Delivered,2023-03-30,2023-04-05,746,16.99,15.35,69.0,false,6,1223.4399999999991,0.092493297587131373,1,0,0
PO-00688,Beta_Supplies,Electronics,Partially Delivered,2023-07-06,2023-07-15,740,32.53,29.35,84.0,true,9,2353.2,0.11351351351351352,0,0,0
PO-00752,Beta_Supplies,Electronics,Cancelled,2023-11-17,,86,93.6,88.22,5.0,true,,462.67999999999961,0.058139534883720929,0,1,0
PO-00754,Beta_Supplies,Electronics,Delivered,2023-08-01,2023-08-02,1442,43.98,41.82,140.0,false,1,3114.7199999999953,0.0970873786407767,1,0,0
PO-00756,Beta_Supplies,Electronics,Partially Delivered,2023-04-22,2023-05-03,1598,26.3,26.03,154.0,false,11,431.4599999999993,0.096370463078848556,0,0,0
PO-00764,Beta_Supplies,Electronics,Delivered,2022-06-17,2022-07-06,111,68.53,65.22,11.0,true,19,367.41000000000025,0.0990990990990991,1,0,0
PO-00772,Beta_Supplies,Electronics,Delivered,2023-01-20,2023-02-02,226,102.47,99.16,28.0,true,13,748.06000000000051,0.12389380530973451,1,0,0
PO-00015,Delta_Logistics,Electronics,Pending,2022-01-31,2022-02-18,5000,54.5,48.45,22.0,true,18,30249.999999999985,0.0044,0,0,0
PO-00072,Delta_Logistics,Electronics,Pending,2022-10-12,2022-11-01,1419,69.64,59.28,194.0,true,20,14700.839999999998,0.13671599718111346,0,0,0
PO-00089,Delta_Logistics,Electronics,Delivered,2023-07-01,2023-07-09,1075,18.53,16.12,147.0,true,8,2590.75,0.13674418604651162,1,0,0
PO-00133,Delta_Logistics,Electronics,Cancelled,2022-04-04,2022-04-22,1930,65.52,56.9,282.0,true,18,16636.599999999995,0.14611398963730571,0,1,0
PO-00167,Delta_Logistics,Electronics,Delivered,2023-06-04,2023-06-17,148,103.57,98.62,23.0,false,13,732.59999999999832,0.1554054054054054,1,0,0
PO-00193,Delta_Logistics,Electronics,Delivered,2022-03-29,2022-04-06,1648,35.42,31.46,,false,8,6526.0800000000017,,1,0,0
PO-00234,Delta_Logistics,Electronics,Delivered,2023-10-09,2023-10-18,1304,32.08,29.36,,true,9,3546.8799999999983,,1,0,0
PO-00261,Delta_Logistics,Electronics,Delivered,2023-03-10,2023-03-18,1545,38.15,36.96,214.0,true,8,1838.5499999999965,0.13851132686084142,1,0,0
PO-00336,Delta_Logistics,Electronics,Pending,2023-11-23,2023-12-05,538,34.3,32.25,84.0,false,12,1102.8999999999985,0.15613382899628253,0,0,0
PO-00344,Delta_Logistics,Electronics,Delivered,2022-02-10,2022-02-28,522,66.83,58.01,74.0,true,18,4604.04,0.1417624521072797,1,0,0
PO-00345,Delta_Logistics,Electronics,Delivered,2023-09-27,2023-10-06,200,44.16,43.13,21.0,true,9,205.99999999999881,0.105,1,0,0
PO-00368,Delta_Logistics,Electronics,Delivered,2023-04-15,2023-04-28,1172,32.93,29.28,,false,13,4277.7999999999984,,1,0,0
PO-00378,Delta_Logistics,Electronics,Delivered,2022-12-24,2022-12-26,1993,65.94,59.36,,true,2,13113.939999999997,,1,0,0
PO-00396,Delta_Logistics,Electronics,Delivered,2022-04-17,,927,48.89,46.05,138.0,true,,2632.680000000003,0.14886731391585761,1,0,0
PO-00401,Delta_Logistics,Electronics,Delivered,2023-07-21,2023-08-06,1793,22.01,21.78,285.0,true,16,412.39000000000078,0.15895147796988288,1,0,0
PO-00423,Delta_Logistics,Electronics,Delivered,2022-05-14,,519,51.73,47.52,81.0,false,,2184.9899999999966,0.15606936416184972,1,0,0
PO-00456,Delta_Logistics,Electronics,Delivered,2023-07-28,2023-08-10,1293,50.21,47.55,,false,13,3439.3800000000047,,1,0,0
