delivery_id,delivery_partner,package_type,vehicle_type,delivery_mode,region,weather_condition,distance_km,package_weight_kg,delivery_time_hours,expected_time_hours,delay_hours,delayed,delivery_status,delivery_rating,delivery_cost,cost_per_km,cost_per_kg
1,delhivery,automobile parts,bike,same day,west,clear,297.0,46.96,8,8,0,no,delivered,3,1632.7206,5.497375757575758,34.768326235093696
2,xpressbees,cosmetics,ev van,express,central,cold,89.6,47.39,2,3,-1,no,delivered,5,640.17,7.144754464285715,13.50854610677358
3,shadowfax,groceries,truck,two day,east,rainy,273.5,26.89,10,16,-6,no,delivered,4,1448.17,5.294954296160878,53.855336556340646
4,dhl,electronics,ev van,same day,east,cold,269.7,12.69,6,8,-2,no,delivered,3,1486.57,5.511939191694475,117.14499605988968
5,dhl,clothing,van,two day,north,foggy,256.7,37.02,9,16,-7,no,delivered,4,1394.56,5.432645111024542,37.67044840626688
6,amazon logistics,documents,ev bike,express,west,rainy,48.4,33.15,4,2,2,yes,delayed,3,391.45,8.087809917355372,11.80844645550528
7,delhivery,groceries,scooter,same day,central,clear,198.3,43.79,6,8,-2,no,delivered,3,1222.87,6.166767523953605,27.92578214204156
8,xpressbees,fragile items,van,same day,north,cold,114.6,42.63,4,8,-4,no,delivered,3,800.89,6.988568935427574,18.787004456955195
9,blue dart,clothing,van,same day,south,hot,142.4,14.06,5,8,-3,no,delivered,5,854.18,5.9984550561797745,60.75248933143669
10,delhivery,pharmacy,truck,same day,east,foggy,47.1,29.28,3,8,-5,no,delivered,5,423.34,8.988110403397027,14.458333333333332
11,fedex,groceries,scooter,same day,east,cold,293.2,22.05,5,8,-3,no,delivered,4,1632.15,5.566678035470669,74.0204081632653
12,ecom express,electronics,truck,two day,east,cold,80.4,46.48,3,16,-13,no,delivered,5,541.44,6.7343283582089555,11.648881239242687
13,xpressbees,pharmacy,ev van,two day,north,rainy,257.7,20.56,8,16,-8,no,delivered,4,1350.18,5.239348079161816,65.67023346303503
14,xpressbees,cosmetics,bike,express,east,stormy,19.0,3.36,6,2,4,yes,failed,1,155.08,8.162105263157896,46.15476190476191
15,xpressbees,automobile parts,ev bike,two day,east,stormy,237.9,24.59,12,16,-4,no,delivered,3,1263.27,5.3100882723833545,51.37332248881659
16,amazon logistics,furniture,ev van,express,north,hot,239.3,11.67,8,6,2,yes,delayed,3,1281.51,5.355244463017133,109.81233933161954
17,fedex,documents,bike,standard,west,stormy,79.0,0.73,10,24,-14,no,delivered,5,397.19,5.027721518987342,544.0958904109589
18,blue dart,fragile items,ev bike,standard,central,rainy,170.7,45.62,11,24,-13,no,delivered,5,990.36,5.801757469244289,21.708899605436212
19,amazon logistics,documents,van,same day,north,rainy,90.0,33.7,4,8,-4,no,delivered,3,651.1,7.234444444444445,19.32047477744807
20,fedex,cosmetics,truck,express,north,rainy,64.0,6.03,7,3,4,yes,failed,2,388.09,6.06390625,64.35986733001657
21,fedex,automobile parts,scooter,two day,east,foggy,185.9,19.1,6,16,-10,no,delivered,4,986.8,5.308230231307154,51.66492146596858
22,dhl,electronics,scooter,two day,west,stormy,217.9,14.08,9,16,-7,no,delivered,4,1131.74,5.193850390087196,80.37926136363636
23,blue dart,automobile parts,scooter,same day,north,cold,214.1,40.85,6,8,-2,no,delivered,5,1293.05,6.039467538533396,31.65361077111383
24,ecom express,clothing,bike,standard,central,clear,251.7,34.9,8,24,-16,no,delivered,4,1363.2,5.415971394517283,39.060171919770774
25,amazon logistics,furniture,van,standard,east,foggy,214.9,5.67,7,24,-17,no,delivered,5,1091.51,5.079153094462541,192.50617283950618
26,shadowfax,documents,ev van,two day,north,stormy,115.4,0.67,6,16,-10,no,delivered,4,578.59,5.013778162911612,863.5671641791045
27,dhl,clothing,ev bike,express,east,foggy,293.8,41.03,9,7,2,yes,delayed,3,1632.7206,5.557251872021784,39.79333658298806
28,amazon logistics,cosmetics,scooter,standard,east,clear,286.8,46.67,8,24,-16,no,delivered,3,1574.01,5.488179916317991,33.72637668737947
29,fedex,furniture,truck,express,south,hot,136.1,48.1,3,4,-1,no,delivered,5,874.8,6.427626745040412,18.187110187110186
30,dhl,furniture,bike,two day,east,rainy,291.4,6.12,13,16,-3,no,delivered,5,1475.36,5.063006177076184,241.07189542483658
31,fedex,furniture,bike,standard,south,hot,295.0,19.68,9,24,-15,no,delivered,5,1534.04,5.200135593220339,77.94918699186992
32,ekart,cosmetics,truck,same day,central,rainy,223.3,6.29,10,8,2,yes,failed,1,1235.37,5.532333184057321,196.4022257551669
33,delhivery,automobile parts,scooter,express,south,hot,242.5,46.73,10,6,4,yes,failed,1,1402.69,5.784288659793814,30.016905628076184
34,fedex,furniture,ev bike,two day,central,rainy,35.1,22.72,8,16,-8,no,delivered,5,243.66,6.941880341880341,10.724471830985916
35,amazon logistics,clothing,bike,express,central,stormy,81.8,45.51,5,3,2,yes,delayed,2,595.53,7.280317848410758,13.08569545154911
36,delhivery,documents,bike,same day,east,clear,37.6,22.81,3,8,-5,no,delivered,4,356.43,9.479521276595744,15.626041209995616
37,amazon logistics,furniture,ev bike,express,north,rainy,46.8,4.72,5,2,3,yes,delayed,2,298.16,6.370940170940172,63.16949152542374
38,amazon logistics,electronics,scooter,same day,central,hot,233.4,18.0,5,8,-3,no,delivered,5,1321.0,5.65981148243359,73.38888888888889
39,ekart,documents,bike,standard,east,rainy,62.2,48.58,7,24,-17,no,delivered,3,456.74,7.343086816720257,9.401811445039112
40,shadowfax,clothing,ev bike,standard,south,foggy,114.0,43.85,6,24,-18,no,delivered,4,701.55,6.153947368421052,15.99885974914481
41,blue dart,automobile parts,ev bike,same day,north,foggy,131.5,25.79,6,8,-2,no,delivered,5,834.87,6.348821292775665,32.37184955409074
42,xpressbees,groceries,ev van,express,south,rainy,21.4,16.58,3,2,1,yes,delayed,3,206.74,9.660747663551403,12.469240048250906
43,xpressbees,fragile items,truck,standard,west,stormy,258.5,8.37,7,24,-17,no,delivered,5,1317.61,5.097137330754352,157.4205495818399
44,dhl,furniture,van,two day,east,rainy,253.9,7.07,9,16,-7,no,delivered,3,1290.71,5.083536825521859,182.56152758132956
45,delhivery,furniture,ev bike,same day,north,stormy,6.7,7.96,6,8,-2,no,delivered,4,157.38,23.48955223880597,19.771356783919597
46,ecom express,automobile parts,ev bike,standard,west,hot,178.1,26.7,5,24,-19,no,delivered,4,970.6,5.449747332959012,36.352059925093634
47,fedex,cosmetics,truck,standard,south,hot,180.0,35.04,4,24,-20,no,delivered,3,1005.12,5.584,28.684931506849317
48,ecom express,documents,scooter,two day,north,rainy,187.9,14.96,11,16,-5,no,delivered,4,984.38,5.238850452368281,65.80080213903743
49,xpressbees,documents,ev van,express,west,hot,78.3,49.22,4,3,1,yes,failed,1,589.16,7.524393358876117,11.969930922389272
50,amazon logistics,pharmacy,ev bike,express,west,hot,51.6,23.45,2,3,-1,no,delivered,4,378.35,7.332364341085271,16.134328358208958
51,xpressbees,electronics,ev van,same day,central,stormy,26.9,29.86,5,8,-3,no,delivered,5,324.08,12.047583643122676,10.853315472203617
52,blue dart,clothing,truck,express,north,hot,216.7,26.89,7,6,1,yes,delayed,2,1214.17,5.602999538532534,45.15321680922276
53,dhl,electronics,van,standard,south,foggy,148.2,38.6,5,24,-19,no,delivered,4,856.8,5.781376518218623,22.19689119170984
54,fedex,cosmetics,ev van,same day,south,clear,184.2,46.79,5,8,-3,no,delivered,4,1161.37,6.304940282301845,24.820901902115835
55,fedex,groceries,truck,same day,east,stormy,167.7,42.4,7,8,-1,no,delivered,5,1065.7,6.354800238521169,25.134433962264154
56,delhivery,electronics,ev bike,standard,central,cold,197.7,25.84,9,24,-15,no,delivered,5,1066.02,5.3921092564491655,41.2546439628483
57,fedex,cosmetics,ev van,standard,north,foggy,211.9,46.94,7,24,-17,no,delivered,5,1200.32,5.664558754129306,25.571367703451216
58,blue dart,pharmacy,scooter,same day,west,stormy,64.3,21.05,6,8,-2,no,delivered,5,484.65,7.537325038880248,23.023752969121137
59,xpressbees,cosmetics,scooter,two day,east,hot,206.7,3.87,3,16,-13,no,delivered,4,1045.11,5.056168359941944,270.05426356589146
60,xpressbees,clothing,bike,two day,east,cold,83.5,6.81,3,16,-13,no,delivered,5,437.93,5.244670658682635,64.30690161527167
61,ecom express,fragile items,truck,same day,central,foggy,9.3,47.62,3,8,-5,no,delivered,5,289.36,31.113978494623655,6.076438471230576
62,xpressbees,clothing,ev bike,standard,west,rainy,245.9,47.01,12,24,-12,no,delivered,3,1370.53,5.57352582350549,29.154009785152095
63,dhl,pharmacy,ev van,express,north,stormy,225.7,45.7,8,6,2,yes,delayed,2,1315.6,5.828976517501108,28.787746170678332
64,ecom express,pharmacy,bike,express,east,hot,226.0,37.62,7,6,1,yes,delayed,2,1292.86,5.720619469026548,34.36629452418926
65,dhl,clothing,bike,two day,west,hot,113.3,34.03,4,16,-12,no,delivered,5,668.59,5.901059135039718,19.64707610931531
66,ekart,groceries,ev bike,standard,north,stormy,232.3,41.91,12,24,-12,no,delivered,4,1287.23,5.541239776151528,30.714149367692677
67,ecom express,electronics,scooter,express,east,cold,87.7,22.38,4,3,1,yes,failed,2,555.64,6.3356898517673885,24.827524575513852
68,dhl,furniture,van,same day,east,rainy,90.1,27.46,6,8,-2,no,delivered,4,632.88,7.024195338512764,23.04734158776402
69,delhivery,cosmetics,bike,express,north,rainy,110.4,44.94,6,4,2,yes,delayed,2,736.82,6.674094202898551,16.395638629283493
