Supplier,Item_Category,total_orders,fulfillment_rate_pct,avg_defect_rate_pct,total_negotiated_savings
Alpha_Inc,Electronics,22,77.3,2.35,103708.79
Beta_Supplies,Electronics,32,56.3,9.34,202463.87
Delta_Logistics,Electronics,33,72.7,13.95,157314.53
Epsilon_Group,Electronics,36,77.8,3.51,176726.13
Gamma_Co,Electronics,29,75.9,5.12,102662.91
Alpha_Inc,MRO,35,77.1,2.09,153559.11
Beta_Supplies,MRO,26,76.9,10.09,159147.5
Delta_Logistics,MRO,34,73.5,14.88,165014.78
Epsilon_Group,MRO,39,79.5,3.02,238652.49
Gamma_Co,MRO,30,70.0,4.99,185938.43
Alpha_Inc,Office Supplies,39,76.9,3.24,188727.17
Beta_Supplies,Office Supplies,41,70.7,9.76,221789.81
Delta_Logistics,Office Supplies,37,62.2,14.86,165432.3
Epsilon_Group,Office Supplies,34,79.4,3.03,171550.45
Gamma_Co,Office Supplies,23,69.6,5.12,96596.43
Alpha_Inc,Packaging,27,70.4,1.99,158898.1
Beta_Supplies,Packaging,30,73.3,9.84,127146.23
Delta_Logistics,Packaging,29,69.0,14.29,139482.27
Epsilon_Group,Packaging,34,52.9,2.83,157767.99
Gamma_Co,Packaging,28,75.0,5.19,149449.93
Alpha_Inc,Raw Materials,18,77.8,2.07,84027.32
Beta_Supplies,Raw Materials,27,77.8,9.98,179393.48
Delta_Logistics,Raw Materials,38,73.7,14.96,154732.61
Epsilon_Group,Raw Materials,23,69.6,2.81,100283.12
Gamma_Co,Raw Materials,33,69.7,4.78,190660.72
